label_id	gene_clusters	neuron_traced
314	1	1
489	1	0
671	2	0
672	1	1
921	1	0
923	3	1
970	1	0
1055	1	0
1062	1	0
1063	2	0
1066	1	0
1109	2	1
1110	2	0
1111	4	0
1112	1	0
1113	1	0
1114	1	0
1190	1	0
1191	1	0
1209	5	0
1221	2	0
1225	3	0
1260	1	0
1275	1	0
1276	3	0
1297	2	0
1352	6	0
1372	3	0
1401	1	0
1404	3	1
1406	2	0
1439	3	0
1476	3	0
1479	3	0
1493	6	0
1494	7	0
1495	7	1
1496	3	0
1510	7	1
1543	1	0
1544	4	0
1550	3	0
1551	5	0
1552	3	0
1626	3	0
1628	3	0
1640	7	0
1641	3	0
1643	3	0
1686	4	0
1696	6	0
1697	7	0
1698	7	0
1704	3	0
1705	5	1
1778	5	0
1790	6	0
1791	6	0
1792	5	0
1793	5	0
1806	7	0
1808	3	0
1854	6	0
1855	8	0
1856	7	0
1865	3	0
1869	3	1
1870	3	1
1871	3	1
1932	3	0
1960	5	0
1961	3	0
1962	3	0
1973	9	0
2012	6	0
2021	5	0
2022	3	0
2023	5	0
2024	5	1
2025	5	1
2026	3	0
2027	2	0
2037	3	0
2039	3	0
2083	3	0
2109	3	0
2110	3	0
2120	6	0
2121	3	0
2122	5	0
2123	6	0
2129	9	0
2131	7	0
2132	6	0
2133	6	0
2134	9	0
2135	3	0
2161	6	0
2175	6	1
2176	7	1
2183	5	1
2186	2	0
2200	3	0
2248	3	0
2249	3	0
2250	3	0
2268	5	0
2269	6	0
2270	5	0
2272	5	0
2274	5	0
2284	9	0
2285	9	0
2286	9	0
2287	8	0
2288	9	0
2289	3	0
2325	3	0
2331	5	0
2332	9	0
2340	5	1
2341	5	0
2359	2	0
2396	3	0
2415	3	0
2423	6	0
2424	6	0
2425	6	0
2426	5	0
2427	5	0
2428	5	0
2429	3	0
2437	4	0
2440	6	0
2441	6	0
2442	6	0
2443	9	0
2451	2	0
2452	4	0
2453	8	0
2483	6	0
2504	3	0
2505	5	0
2506	5	0
2507	8	1
2529	3	0
2530	3	0
2532	3	0
2533	3	1
2534	3	0
2588	3	0
2591	5	0
2592	3	0
2593	3	0
2594	3	0
2609	9	0
2610	5	0
2620	9	0
2623	6	0
2624	9	0
2625	8	0
2626	8	0
2627	3	0
2633	4	0
2636	8	0
2638	4	0
2665	5	0
2666	9	0
2667	6	0
2668	6	0
2675	5	0
2688	5	0
2689	5	1
2690	5	0
2691	3	1
2692	3	1
2693	5	0
2694	9	0
2695	8	0
2698	8	0
2714	3	0
2716	2	0
2717	2	1
2719	2	0
2742	3	0
2743	3	0
2756	3	0
2771	9	0
2774	5	0
2776	9	0
2777	5	0
2778	5	0
2779	5	0
2780	5	0
2781	5	0
2782	5	0
2783	5	1
2794	6	0
2795	10	0
2802	2	0
2805	4	0
2807	8	0
2808	4	0
2810	8	0
2836	9	0
2842	3	1
2844	6	0
2845	5	0
2846	5	0
2847	6	0
2848	6	0
2849	6	0
2851	4	0
2852	6	0
2861	3	1
2862	5	0
2864	9	0
2865	8	1
2867	2	0
2868	8	0
2878	3	1
2881	5	1
2912	3	1
2926	5	0
2938	3	0
2939	5	0
2940	5	0
2941	5	0
2953	6	0
2954	5	0
2955	3	0
2963	4	0
2964	9	0
2966	4	0
2990	3	0
3017	6	0
3018	6	0
3019	9	0
3031	3	1
3032	3	0
3033	3	0
3034	5	0
3035	5	0
3036	5	0
3037	5	1
3038	9	0
3048	3	0
3049	3	1
3073	3	0
3087	3	0
3088	3	1
3101	3	0
3102	3	0
3103	6	0
3105	5	0
3106	5	0
3107	5	0
3108	5	0
3109	3	0
3118	9	0
3119	9	1
3120	6	0
3121	5	0
3122	5	0
3123	9	0
3125	10	1
3133	9	0
3134	8	0
3135	2	0
3136	4	0
3137	8	0
3138	10	0
3168	3	0
3169	5	0
3170	6	1
3171	6	0
3186	3	0
3188	5	0
3189	6	0
3190	6	0
3191	9	0
3206	3	0
3208	3	1
3209	5	0
3212	9	1
3214	8	1
3215	8	0
3229	3	1
3232	3	1
3233	10	1
3234	10	1
3235	4	0
3236	4	0
3258	3	1
3265	3	0
3266	2	0
3268	3	1
3269	3	1
3280	3	0
3281	5	0
3282	5	1
3292	9	1
3294	6	1
3295	9	0
3296	3	0
3304	4	0
3306	4	1
3310	2	0
3323	3	0
3326	9	0
3336	3	0
3337	3	0
3338	10	0
3345	3	0
3346	10	0
3347	9	0
3348	4	0
3358	2	0
3359	2	0
3361	3	1
3362	3	0
3363	5	1
3364	8	0
3365	5	0
3368	9	0
3369	4	1
3387	3	0
3388	3	0
3391	5	1
3397	10	0
3421	2	0
3424	2	0
3435	3	0
3437	3	1
3438	5	0
3452	9	1
3453	2	0
3454	5	0
3456	5	0
3458	5	0
3470	9	0
3471	10	0
3472	10	0
3478	2	0
3479	8	0
3481	4	1
3495	9	0
3496	9	0
3510	3	0
3511	5	0
3525	5	0
3526	6	0
3527	9	0
3529	2	0
3536	3	0
3537	5	0
3538	5	1
3539	5	1
3540	8	0
3541	9	1
3542	2	0
3555	3	0
3556	10	0
3557	4	0
3558	4	0
3559	4	0
3560	4	0
3576	2	0
3591	3	0
3593	2	0
3594	2	1
3610	3	0
3611	9	0
3612	3	0
3613	3	0
3614	3	0
3615	3	0
3616	5	0
3617	5	0
3618	3	1
3619	3	1
3620	3	0
3633	10	0
3635	10	0
3636	9	0
3644	8	0
3645	8	0
3646	2	0
3647	4	0
3652	2	0
3665	10	0
3666	10	0
3684	3	0
3685	3	0
3686	9	0
3687	10	0
3688	9	0
3689	3	0
3708	2	0
3709	3	0
3710	5	0
3711	5	0
3712	5	0
3713	2	0
3730	2	0
3731	3	1
3732	3	1
3734	8	1
3735	3	0
3736	8	0
3738	8	1
3739	8	0
3740	4	0
3756	5	1
3760	4	0
3761	8	0
3782	2	0
3794	3	0
3796	3	0
3805	4	0
3808	3	0
3809	10	0
3811	3	0
3812	3	0
3813	3	1
3814	3	0
3827	9	0
3828	10	0
3829	9	0
3831	8	0
3832	3	0
3847	2	0
3848	8	0
3849	4	0
3850	4	0
3851	4	0
3852	4	0
3871	3	0
3872	3	0
3875	9	0
3887	3	0
3888	5	0
3889	6	0
3890	9	0
3891	8	0
3898	2	1
3899	3	1
3900	5	0
3901	5	1
3902	2	0
3917	2	0
3918	3	0
3919	5	1
3937	4	0
3959	2	1
3960	3	1
3979	9	0
3982	3	0
3992	3	0
3994	8	1
3996	4	0
4002	10	0
4005	4	0
4006	4	0
4014	3	0
4015	10	1
4029	3	0
4030	3	0
4031	3	0
4032	9	0
4034	2	0
4045	3	0
4046	5	0
4047	8	0
4059	2	1
4060	3	0
4061	5	1
4062	3	0
4063	8	0
4079	3	0
4082	3	0
4101	4	0
4117	3	0
4130	10	0
4131	3	0
4132	3	1
4133	9	0
4134	3	0
4135	3	0
4136	3	1
4137	3	0
4154	10	0
4156	9	0
4157	2	0
4160	8	0
4161	3	0
4162	3	0
4163	8	0
4164	3	0
4200	3	0
4201	10	0
4202	10	0
4219	2	0
4220	9	0
4221	3	0
4222	3	0
4223	3	0
4225	9	0
4226	8	0
4227	10	0
4228	10	0
4229	4	0
4231	10	0
4237	3	1
4238	3	1
4239	3	1
4240	8	0
4241	8	0
4242	8	0
4252	3	0
4255	8	0
4257	4	0
4258	4	0
4301	3	0
4303	2	0
4304	3	1
4305	2	0
4316	10	0
4317	3	0
4318	3	0
4329	2	0
4330	10	0
4332	9	0
4333	10	0
4335	4	0
4336	8	0
4337	8	0
4340	2	0
4341	2	0
4342	2	0
4361	3	0
4362	10	0
4374	3	0
4375	3	0
4376	3	0
4377	3	0
4378	3	0
4379	10	0
4381	9	0
4397	2	0
4398	2	0
4413	3	0
4414	3	0
4415	8	0
4416	2	0
4432	3	0
4433	3	0
4434	8	0
4435	3	0
4475	2	0
4476	3	0
4477	2	0
4481	10	0
4482	3	1
4483	10	1
4484	3	0
4485	2	0
4487	3	0
4488	3	0
4489	3	0
4490	3	1
4491	3	1
4492	2	1
4501	10	0
4502	8	0
4512	2	0
4538	2	0
4539	3	0
4540	10	0
4541	10	0
4555	2	0
4557	2	0
4560	3	0
4561	3	0
4562	10	0
4563	10	0
4564	8	0
4570	2	0
4571	3	0
4574	4	0
4575	8	0
4576	2	0
4577	8	0
4594	8	0
4595	4	0
4596	8	0
4597	2	0
4633	3	0
4640	2	0
4642	10	0
4643	3	0
4646	3	0
4647	3	0
4660	2	0
4663	10	0
4664	8	0
4665	8	0
4670	4	1
4681	3	0
4697	3	0
4698	10	0
4726	8	0
4727	3	0
4728	8	0
4729	3	0
4754	2	0
4756	8	0
4757	2	0
4759	8	0
4760	2	0
4794	2	0
4802	3	0
4803	3	0
4805	3	0
4806	2	1
4818	8	0
4826	2	0
4827	2	0
4843	3	0
4851	2	0
4852	3	0
4854	3	0
4879	2	0
4880	2	0
4881	3	0
4882	3	0
4896	2	0
4897	8	0
4898	8	0
4955	3	0
4965	3	1
4966	3	0
4967	3	1
4968	4	0
4969	11	0
4972	3	0
4985	4	1
4995	2	0
4998	2	0
5037	3	0
5038	10	0
5039	10	1
5040	4	1
5041	2	1
5042	2	0
5043	2	0
5069	2	0
5073	10	0
5074	2	0
5075	8	0
5077	4	1
5078	2	1
5079	4	0
5080	2	0
5099	8	0
5100	8	0
5101	2	0
5102	4	1
5124	3	0
5158	3	0
5172	11	0
5183	4	0
5186	2	0
5187	10	0
5188	8	1
5189	8	0
5193	8	0
5194	4	1
5195	2	1
5204	2	0
5205	2	0
5206	4	0
5249	3	0
5250	3	0
5251	3	0
5253	4	0
5254	2	1
5272	11	0
5273	3	0
5274	10	0
5275	11	0
5276	11	0
5277	11	0
5278	3	0
5279	10	1
5280	8	0
5281	10	0
5283	4	0
5304	11	0
5305	4	0
5335	3	0
5336	3	0
5337	3	0
5339	3	0
5340	2	0
5391	11	0
5392	11	0
5393	11	0
5394	3	0
5397	11	0
5398	11	0
5401	11	0
5402	3	0
5403	3	1
5404	3	0
5416	4	1
5417	4	0
5418	2	0
5419	10	0
5421	4	1
5422	4	1
5435	10	1
5436	2	0
5474	3	0
5475	4	0
5476	2	0
5500	3	0
5501	11	0
5502	10	0
5503	8	0
5504	8	0
5505	4	0
5506	8	1
5507	4	1
5529	2	0
5530	8	1
5531	4	0
5532	4	0
5556	4	0
5617	10	0
5619	3	0
5620	10	0
5621	10	0
5622	11	0
5623	11	0
5624	11	0
5625	11	0
5626	11	0
5627	11	0
5628	11	1
5629	3	1
5645	4	0
5646	11	0
5647	8	1
5655	2	0
5659	2	0
5660	2	0
5662	4	1
5663	2	0
5664	2	1
5705	2	0
5708	8	0
5732	2	0
5733	11	0
5734	11	0
5735	10	0
5736	4	0
5737	10	1
5738	4	0
5757	11	0
5758	3	0
5759	10	1
5761	4	0
5851	4	0
5852	11	0
5853	11	1
5862	8	1
5863	4	0
5864	3	1
5865	3	1
5876	10	1
5877	4	1
5955	11	0
5957	11	0
5958	11	0
5959	4	0
5960	2	0
5986	11	0
5987	11	0
5988	2	0
5989	11	0
5990	3	0
6011	3	0
6072	11	0
6073	11	0
6075	11	0
6088	3	0
6113	4	0
6114	4	0
6115	4	0
6116	11	0
6117	4	1
6118	4	1
6120	10	1
6187	3	0
6191	4	0
6192	4	0
6223	11	0
6224	4	1
6225	4	1
6250	11	0
6251	11	0
6252	11	0
6253	11	0
6254	3	0
6255	4	1
6338	2	0
6352	11	0
6353	11	0
6373	10	0
6374	4	1
6392	4	1
6439	4	0
6472	11	0
6473	11	0
6474	11	0
6475	11	0
6476	4	0
6478	4	1
6479	4	1
6480	2	0
6509	2	0
6511	11	0
6513	4	0
6600	2	0
6624	11	0
6625	11	0
6626	11	0
6627	2	0
6628	2	0
6641	4	0
6642	4	1
6654	2	1
6734	11	0
6735	11	0
6736	11	0
6737	2	1
6750	11	0
6751	11	0
6837	11	0
6838	11	0
6839	11	0
6840	11	0
6841	11	0
6842	4	0
6843	2	0
6844	11	1
6873	2	0
6874	4	0
6875	4	1
6878	11	1
6905	2	0
6983	11	0
6984	11	0
6985	4	0
6986	4	0
7005	11	0
7087	11	0
7089	2	1
7090	2	0
7108	4	0
7208	11	0
7209	4	0
7210	11	0
7231	11	0
7258	2	0
7260	2	1
7320	2	0
7321	2	0
7322	2	0
7333	2	0
7334	4	0
7433	4	0
7455	4	0
7456	4	0
7457	4	0
7478	2	0
7480	4	0
7521	2	0
7522	2	0
7524	2	0
7540	4	0
7541	2	0
7553	4	0
7556	4	0
7642	4	0
7643	2	0
7654	2	0
7655	2	0
7659	2	0
7678	2	0
7738	2	0
7739	4	0
7740	2	0
7741	2	0
7742	4	0
7764	4	0
7765	2	0
7766	4	0
7840	2	0
7842	2	0
7843	2	0
7865	2	0
7866	4	0
7867	4	0
7868	4	0
7869	2	0
7888	2	0
7928	2	0
7929	2	0
7931	2	0
7950	2	0
7960	2	0
7961	2	0
7963	2	0
7964	2	0
8027	4	0
8061	2	0
8065	4	0
8066	4	0
8120	2	0
8130	2	0
8132	4	0
8134	4	0
8692	2	0
