label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
0.0	157.77366317852625	164.58005052813937	66.72204563550365	81.92	81.92	0.0	245.6	245.6	230.20000000000002	495449868.0
1.0	189.96425776699328	136.73553109657746	27.474862099969386	167.36	115.68	3.4000000000000004	214.72	157.92000000000002	55.800000000000004	6048222.0
2.0	155.64856707659553	177.01507128613258	25.209301070893886	134.88	155.52	3.6	179.36	203.52	55.800000000000004	6009093.0
3.0	139.71631314762874	197.78340632254032	69.77305838239197	101.28	172.32	55.400000000000006	158.08	238.4	85.0	2674368.0
4.0	201.718987742412	121.54521284908895	71.80549067968882	180.48	102.24000000000001	57.2	226.56	138.56	85.80000000000001	2645137.0
5.0	182.64996509768864	149.4504584357199	40.01987216641092	164.96	131.84	14.600000000000001	203.20000000000002	162.72	53.800000000000004	871289.0
6.0	166.2033087766585	169.4727247430573	39.30735332213678	148.8	155.04	19.200000000000003	178.24	182.24	51.0	687118.0
7.0	217.17634449312882	174.83914461011082	59.40270642783563	181.92000000000002	140.32	8.8	239.20000000000002	205.28	106.4	12955823.0
8.0	198.3924929814049	197.7294936318381	56.377114264849745	169.6	164.8	9.4	228.16	223.36	104.0	12726906.0
9.0	214.00809750841833	161.0687573300113	19.063812762754385	193.92000000000002	142.4	0.0	236.0	176.32	45.0	3172403.0
10.0	186.73073045386784	199.61887540333825	20.080371415000272	165.28	176.0	0.0	205.76	219.36	53.6	3052650.0
11.0	143.13875836898694	183.19543345593823	35.077724887647264	128.64000000000001	152.48	6.4	175.68	212.16	116.80000000000001	3338367.0
12.0	189.73028131414347	121.96341954211437	38.69112109066612	160.16	108.32000000000001	7.0	218.72	144.48	64.4	3293400.0
13.0	174.51677129438056	159.8811703097392	68.24759149463142	142.88	127.68	25.6	200.8	188.96	94.4	6621700.0
14.0	182.04130256063283	164.14772863756235	15.373879038543263	157.44	134.56	0.0	216.32	189.6	48.2	2675315.0
15.0	182.6882780964566	216.47654121991346	70.66921813671061	166.4	203.84	53.2	197.92000000000002	227.84	93.0	1166099.0
16.0	232.5390063236869	155.34154267884648	70.15619356809542	215.36	140.32	56.6	243.52	173.92000000000002	84.80000000000001	1116279.0
17.0	166.3334111305919	206.0244052833655	49.10467929609537	131.84	170.72	6.4	200.16	228.64000000000001	88.60000000000001	10296164.0
18.0	218.92327386082098	143.51724647485474	49.65601847786677	184.32	116.96000000000001	9.0	242.88	168.64000000000001	88.80000000000001	9509323.0
19.0	196.9501385544019	174.28313164874572	44.04309741430871	97.28	85.92	0.0	244.48000000000002	228.96	220.60000000000002	19670252.0
